N, M, U, U_prime, b, S, Sporadic Count, Schedulability Percentage, Timeout Percentage, Time (Average), Time (Lower Bootstrap Average), Time (Upper Bootstrap Average), Time (Median), Time (First Quantile), Time (Third Quantile), Time (5 Percentile), Time (95 Percentile), Only Schedulable Time (Average), Only Schedulable Time (Lower Bootstrap Average), Only Schedulable Time (Upper Bootstrap Average), Only Schedulable Time (Median), Only Schedulable Time (First Quantile), Only Schedulable Time (Third Quantile), Only Schedulable Time (5 Percentile), Only Schedulable Time (95 Percentile), Time with timeouts (Average), Time with timeouts (Lower Bootstrap Average), Time with timeouts (Upper Bootstrap Average), Time with timeouts (Median), Time with timeouts (First Quantile), Time with timeouts (Third Quantile), Time with timeouts (5 Percentile), Time with timeouts (95 Percentile)
2, 1, 0.3, 0, 0, 1, 0, 79.0, 0.0, 0.0003, 0.0, 0.0006999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00037974683544303797, 0.0, 0.0008860759493670885, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0007000000000000001, 0.0, 0.0, 0.0, 0.0, 0.0
3, 1, 0.3, 0, 0, 1, 0, 77.0, 0.0, 0.1161, 0.1002, 0.13210249999999998, 0.12, 0.06, 0.18, 0.0, 0.24, 0.1496103896103896, 0.13610389610389612, 0.16311688311688313, 0.14, 0.11, 0.2, 0.06, 0.24200000000000002, 0.1161, 0.1, 0.13160000000000002, 0.12, 0.06, 0.18, 0.0, 0.24
4, 1, 0.3, 0, 0, 1, 0, 69.0, 0.0, 338.6373, 246.45705250000003, 442.1058375, 100.315, 0.0775, 625.1600000000001, 0.0, 1248.7134999999987, 490.7510144927536, 372.4362173913044, 625.0180579710144, 222.99, 89.71, 797.82, 24.398, 1723.5579999999995, 338.6373, 247.58642000000006, 439.2413174999999, 100.315, 0.0775, 625.1600000000001, 0.0, 1248.7134999999987
5, 1, 0.3, 0, 0, 1, 0, 0.0, 69.0, 0.12741935483870967, 0.04645161290322582, 0.24838709677419354, 0.07, 0.0, 0.11, 0.0, 0.54, -, -, -, -, -, -, -, -, 9936.039499999999, 8640.032985, 11232.024602499998, 14400.0, 0.11, 14400.0, 0.0, 14400.0
6, 1, 0.3, 0, 0, 1, 0, 0.0, 68.0, 0.7071875000000001, 0.19311718750000006, 1.5025, 0.25, 0.0, 0.4825, 0.0, 2.739499999999997, -, -, -, -, -, -, -, -, 9792.226299999998, 8496.24644, 11088.16395, 14400.0, 0.4975, 14400.0, 0.0, 14400.0
7, 1, 0.3, 0, 0, 1, 0, 0.0, 71.0, 289.54517241379307, 0.6848103448275864, 863.6383275862069, 0.02, 0.0, 2.38, 0.0, 58.019999999999804, -, -, -, -, -, -, -, -, 10307.9681, 9011.177104999999, 11542.63146, 14400.0, 2.9725, 14400.0, 0.0, 14400.0
8, 1, 0.3, 0, 0, 1, 0, 0.0, 69.0, 94.84645161290322, 3.1015564516129035, 234.78204838709672, 0.04, 0.01, 12.36, 0.0, 652.57, -, -, -, -, -, -, -, -, 9965.402399999999, 8657.0045925, 11246.349882499999, 14400.0, 13.212500000000002, 14400.0, 0.01, 14400.0
9, 1, 0.3, 0, 0, 1, 0, 0.0, 61.0, 434.44128205128203, 22.247711538461534, 945.0670705128204, 0.02, 0.005, 0.545, 0.0, 4978.542, -, -, -, -, -, -, -, -, 8953.4321, 7551.3227775000005, 10285.836545000002, 14400.0, 0.057499999999999996, 14400.0, 0.0, 14400.0
10, 1, 0.3, 0, 0, 1, 0, 0.0, 68.0, 71.12875, 15.7689453125, 133.8071328125, 0.05, 0.01, 0.5575, 0.0, 454.51249999999993, -, -, -, -, -, -, -, -, 9814.7612, 8512.172754999998, 11106.419175, 14400.0, 1.495, 14400.0, 0.01, 14400.0
2, 2, 0.3, 0, 0, 1, 0, 100.0, 0.0, 0.0002, 0.0, 0.0005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0005, 0.0, 0.0, 0.0, 0.0, 0.0
