N, M, U, U_prime, b, S, Sporadic Count, Schedulability Percentage, Timeout Percentage, Time (Average), Time (Lower Bootstrap Average), Time (Upper Bootstrap Average), Time (Median), Time (First Quantile), Time (Third Quantile), Time (5 Percentile), Time (95 Percentile), Only Schedulable Time (Average), Only Schedulable Time (Lower Bootstrap Average), Only Schedulable Time (Upper Bootstrap Average), Only Schedulable Time (Median), Only Schedulable Time (First Quantile), Only Schedulable Time (Third Quantile), Only Schedulable Time (5 Percentile), Only Schedulable Time (95 Percentile), Time with timeouts (Average), Time with timeouts (Lower Bootstrap Average), Time with timeouts (Upper Bootstrap Average), Time with timeouts (Median), Time with timeouts (First Quantile), Time with timeouts (Third Quantile), Time with timeouts (5 Percentile), Time with timeouts (95 Percentile)
10, 1, 0.3, 0, 0, 1, 0, 76.0, 0.0, 0.01366, 0.01168, 0.0158, 0.01, 0.0, 0.01, 0.0, 0.07049999999999956, 0.017605263157894742, 0.015263157894736845, 0.020263157894736844, 0.01, 0.01, 0.01, 0.0, 0.08, 0.01366, 0.0117, 0.01572, 0.01, 0.0, 0.01, 0.0, 0.07049999999999956
10, 2, 0.3, 0, 0, 1, 0, 84.4, 0.0, 0.42534, 0.37429949999999995, 0.4784204999999999, 0.13, 0.08, 0.66, 0.03, 1.6119999999999983, 0.4949526066350711, 0.43734478672985777, 0.5561149289099525, 0.15, 0.1, 0.84, 0.07, 1.67, 0.42534, 0.3743, 0.4781605, 0.13, 0.08, 0.66, 0.03, 1.6119999999999983
10, 4, 0.3, 0, 0, 1, 0, 79.8, 0.2, 26.749779559118238, 22.422031563126254, 31.615728957915827, 7.17, 2.58, 26.325000000000003, 0.2870000000000001, 117.59399999999991, 33.04213032581453, 27.757231829573936, 38.906677318295735, 10.67, 4.8149999999999995, 38.375, 1.614, 131.71299999999997, 33.896280000000004, 23.2251025, 51.44735499999998, 7.21, 2.585, 26.5025, 0.2885000000000001, 120.32449999999967
10, 8, 0.3, 0, 0, 1, 0, 97.4, 1.4, 129.0021501014199, 101.4018220081136, 159.5952728194726, 15.73, 4.07, 76.81, 1.0080000000000002, 713.4399999999995, 130.55268993839837, 102.56738655030802, 161.97679209445585, 16.14, 4.14, 78.19, 1.133, 720.2199999999998, 177.59611999999998, 134.337283, 224.634878, 16.68, 4.129999999999999, 82.0425, 1.0535000000000003, 921.7114999999994
10, 1, 0.5, 0, 0, 1, 0, 55.2, 0.0, 0.0122, 0.01016, 0.01448, 0.01, 0.0, 0.01, 0.0, 0.06, 0.020181159420289856, 0.01677536231884058, 0.024166666666666666, 0.01, 0.01, 0.02, 0.0, 0.09, 0.0122, 0.010139999999999998, 0.01452, 0.01, 0.0, 0.01, 0.0, 0.06
10, 2, 0.5, 0, 0, 1, 0, 70.6, 0.0, 0.55196, 0.46493850000000003, 0.6460414999999999, 0.19, 0.11, 0.33, 0.03, 2.8234999999999966, 0.7166855524079321, 0.598127478753541, 0.8402868271954674, 0.23, 0.17, 0.4, 0.10600000000000001, 3.3939999999999966, 0.55196, 0.4654585, 0.6451610000000001, 0.19, 0.11, 0.33, 0.03, 2.8234999999999966
10, 4, 0.5, 0, 0, 1, 0, 84.0, 0.0, 118.77076, 96.21879900000002, 144.92872099999997, 23.490000000000002, 9.075, 84.38, 0.8950000000000002, 551.6484999999998, 138.19988095238097, 111.25889880952383, 168.8189952380952, 30.7, 12.952499999999999, 116.64, 4.8660000000000005, 693.7359999999998, 118.77076, 95.7358365, 145.68442649999997, 23.490000000000002, 9.075, 84.38, 0.8950000000000002, 551.6484999999998
10, 8, 0.5, 0, 0, 1, 0, 84.8, 10.6, 387.47351230425056, 323.29270246085014, 455.65143512304246, 60.53, 15.780000000000001, 329.645, 1.4030000000000002, 2335.4799999999996, 405.4072641509434, 338.79409021226417, 478.21303007075466, 64.305, 17.765, 366.24249999999995, 3.363, 2376.8254999999986, 728.00132, 623.331233, 834.7959449999998, 86.13, 17.7025, 746.7325000000001, 1.8760000000000006, 3600.0
10, 1, 0.7, 0, 0, 1, 0, 37.8, 0.0, 0.010900000000000002, 0.008760000000000002, 0.013360499999999996, 0.01, 0.0, 0.01, 0.0, 0.03, 0.024656084656084657, 0.01968253968253968, 0.03068783068783068, 0.02, 0.01, 0.02, 0.0, 0.06599999999999995, 0.010900000000000002, 0.00882, 0.013420000000000001, 0.01, 0.0, 0.01, 0.0, 0.03
10, 2, 0.7, 0, 0, 1, 0, 61.2, 0.0, 0.49767999999999996, 0.3812565, 0.6413405, 0.27, 0.09, 0.41, 0.039500000000000035, 0.9104999999999996, 0.7286274509803922, 0.5442042483660132, 0.9534133986928102, 0.355, 0.27, 0.52, 0.08, 2.4125, 0.49767999999999996, 0.38277800000000006, 0.6388464999999999, 0.27, 0.09, 0.41, 0.039500000000000035, 0.9104999999999996
