N, M, U, U_prime, b, S, Sporadic Count, Schedulability Percentage, Timeout Percentage, Time (Average), Time (Lower Bootstrap Average), Time (Upper Bootstrap Average), Time (Median), Time (First Quantile), Time (Third Quantile), Time (5 Percentile), Time (95 Percentile), Only Schedulable Time (Average), Only Schedulable Time (Lower Bootstrap Average), Only Schedulable Time (Upper Bootstrap Average), Only Schedulable Time (Median), Only Schedulable Time (First Quantile), Only Schedulable Time (Third Quantile), Only Schedulable Time (5 Percentile), Only Schedulable Time (95 Percentile), Time with timeouts (Average), Time with timeouts (Lower Bootstrap Average), Time with timeouts (Upper Bootstrap Average), Time with timeouts (Median), Time with timeouts (First Quantile), Time with timeouts (Third Quantile), Time with timeouts (5 Percentile), Time with timeouts (95 Percentile)
3, 1, 0.3, 0, 0, 1, 0, 77.0, 0.0, 0.0045000000000000005, 0.0034999999999999996, 0.0055000000000000005, 0.0, 0.0, 0.01, 0.0, 0.01, 0.005584415584415585, 0.004415584415584416, 0.006753246753246753, 0.01, 0.0, 0.01, 0.0, 0.010000000000000002, 0.0045000000000000005, 0.0034999999999999996, 0.0055000000000000005, 0.0, 0.0, 0.01, 0.0, 0.01
6, 1, 0.3, 0, 0, 1, 0, 64.0, 0.0, 0.3428, 0.28319999999999995, 0.4090999999999999, 0.3, 0.06, 0.465, 0.05, 0.8264999999999996, 0.48765625, 0.419375, 0.5718789062499999, 0.36, 0.3075, 0.5975, 0.233, 1.0009999999999997, 0.3428, 0.2844, 0.40850000000000003, 0.3, 0.06, 0.465, 0.05, 0.8264999999999996
9, 1, 0.3, 0, 0, 1, 0, 59.0, 0.0, 36.2216, 27.486302499999994, 47.5257325, 27.24, 4.28, 47.277499999999996, 3.7175000000000002, 85.009, 56.73559322033899, 44.59433898305085, 74.06902118644068, 45.15, 30.54, 63.03, 22.53, 96.01799999999993, 36.2216, 27.4701, 47.57149, 27.24, 4.28, 47.277499999999996, 3.7175000000000002, 85.009
12, 1, 0.3, 0, 0, 1, 0, 13.0, 56.0, 1342.5134090909091, 991.1943181818182, 1705.4249602272725, 473.255, 449.2925, 2816.8375, 426.46399999999994, 3447.012, 3156.135384615385, 3006.634846153847, 3307.7539807692306, 3164.66, 2906.64, 3436.88, 2790.262, 3517.012, 2606.7059000000004, 2333.42997, 2866.2979324999997, 3600.0, 482.77750000000003, 3600.0, 440.6515, 3600.0
15, 1, 0.3, 0, 0, 1, 0, 0.0, 100.0, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0
3, 2, 0.3, 0, 0, 1, 0, 90.0, 0.0, 0.028300000000000006, 0.019600000000000003, 0.0385, 0.01, 0.01, 0.02, 0.0, 0.12049999999999997, 0.031111111111111114, 0.02155555555555556, 0.042333333333333334, 0.01, 0.01, 0.02, 0.0, 0.12549999999999997, 0.028300000000000006, 0.019600000000000003, 0.0385, 0.01, 0.01, 0.02, 0.0, 0.12049999999999997
6, 2, 0.3, 0, 0, 1, 0, 63.0, 0.0, 2.5372, 1.6162974999999997, 3.8022224999999996, 1.2850000000000001, 0.435, 2.53, 0.07, 6.150499999999996, 3.843809523809524, 2.4807738095238094, 5.727960317460318, 2.35, 1.385, 2.96, 0.8140000000000001, 16.022999999999985, 2.5372, 1.6081974999999997, 3.766692499999999, 1.2850000000000001, 0.435, 2.53, 0.07, 6.150499999999996
9, 2, 0.3, 0, 0, 1, 0, 64.0, 1.0, 250.38858585858588, 177.26626262626266, 342.1622070707071, 133.71, 36.575, 267.275, 6.947, 899.2259999999994, 369.71625, 265.95087890625, 500.4992226562499, 215.52499999999998, 137.88750000000002, 394.955, 75.9175, 1118.7704999999992, 283.8847, 191.07477, 398.93333249999995, 136.495, 37.807500000000005, 274.1975, 6.948500000000001, 1007.1464999999995
12, 2, 0.3, 0, 0, 1, 0, 0.0, 71.0, 1001.0524137931036, 946.4037844827585, 1056.5724137931034, 981.27, 899.3, 1087.98, 794.2060000000001, 1243.278, -, -, -, -, -, -, -, -, 2846.3052000000002, 2606.5912325, 3069.730165, 3600.0, 1188.79, 3600.0, 862.503, 3600.0
15, 2, 0.3, 0, 0, 1, 0, 0.0, 100.0, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0
