N, M, U, U_prime, b, S, Sporadic Count, Schedulability Percentage, Timeout Percentage, Time (Average), Time (Lower Bootstrap Average), Time (Upper Bootstrap Average), Time (Median), Time (First Quantile), Time (Third Quantile), Time (5 Percentile), Time (95 Percentile), Only Schedulable Time (Average), Only Schedulable Time (Lower Bootstrap Average), Only Schedulable Time (Upper Bootstrap Average), Only Schedulable Time (Median), Only Schedulable Time (First Quantile), Only Schedulable Time (Third Quantile), Only Schedulable Time (5 Percentile), Only Schedulable Time (95 Percentile), Time with timeouts (Average), Time with timeouts (Lower Bootstrap Average), Time with timeouts (Upper Bootstrap Average), Time with timeouts (Median), Time with timeouts (First Quantile), Time with timeouts (Third Quantile), Time with timeouts (5 Percentile), Time with timeouts (95 Percentile)
10, 1, 0.3, 0, 0, 1, 0, 73.0, 0.0, 0.008900000000000002, 0.006000000000000001, 0.012600000000000002, 0.01, 0.0, 0.01, 0.0, 0.02, 0.011643835616438355, 0.007945205479452057, 0.01657534246575343, 0.01, 0.0, 0.01, 0.0, 0.02799999999999983, 0.008900000000000002, 0.006000000000000001, 0.0127, 0.01, 0.0, 0.01, 0.0, 0.02
10, 2, 0.3, 0, 0, 1, 0, 82.0, 0.0, 0.335, 0.2328975, 0.4504074999999999, 0.12, 0.0775, 0.23, 0.02, 1.5174999999999996, 0.39402439024390246, 0.276219512195122, 0.5292713414634146, 0.14, 0.09, 0.3075, 0.07, 1.6525000000000003, 0.335, 0.2347, 0.45080249999999994, 0.12, 0.0775, 0.23, 0.02, 1.5174999999999996
10, 1, 0.3, 0, 0, 4, 0, 83.0, 0.0, 0.0352, 0.025699999999999997, 0.0464, 0.02, 0.01, 0.03, 0.0, 0.09299999999999983, 0.040602409638554215, 0.029518072289156618, 0.05373795180722888, 0.02, 0.02, 0.03, 0.01, 0.14399999999999946, 0.0352, 0.025699999999999997, 0.04669999999999999, 0.02, 0.01, 0.03, 0.0, 0.09299999999999983
10, 2, 0.3, 0, 0, 4, 0, 88.0, 0.0, 3.9590000000000005, 2.876085, 5.232275, 1.52, 0.84, 3.14, 0.428, 19.509499999999996, 4.420909090909091, 3.1982897727272728, 5.808977272727272, 1.67, 0.99, 4.595, 0.627, 19.743499999999997, 3.9590000000000005, 2.8753724999999997, 5.1490025, 1.52, 0.84, 3.14, 0.428, 19.509499999999996
10, 1, 0.3, 0, 0, 7, 0, 90.0, 0.0, 0.0782, 0.05029999999999999, 0.11440249999999996, 0.03, 0.02, 0.052500000000000005, 0.009500000000000001, 0.37049999999999994, 0.08555555555555555, 0.05488888888888889, 0.12588888888888888, 0.03, 0.02, 0.06, 0.01, 0.37549999999999994, 0.0782, 0.050499999999999996, 0.11409999999999997, 0.03, 0.02, 0.052500000000000005, 0.009500000000000001, 0.37049999999999994
10, 2, 0.3, 0, 0, 7, 0, 93.0, 0.0, 15.315900000000001, 8.553075, 24.145067499999996, 3.7, 1.91, 8.8475, 0.628, 60.13999999999999, 16.418279569892473, 9.133435483870972, 26.112602150537633, 4.02, 2.1, 10.37, 1.1199999999999999, 60.62999999999999, 15.315900000000001, 8.4743875, 24.277242500000007, 3.7, 1.91, 8.8475, 0.628, 60.13999999999999
10, 1, 0.3, 0, 0, 10, 0, 90.0, 0.0, 0.11130000000000001, 0.0716, 0.1604, 0.04, 0.02, 0.065, 0.0, 0.5229999999999998, 0.12211111111111111, 0.078, 0.176, 0.04, 0.02, 0.08, 0.01, 0.5529999999999998, 0.11130000000000001, 0.07050000000000001, 0.1595024999999999, 0.04, 0.02, 0.065, 0.0, 0.5229999999999998
10, 2, 0.3, 0, 0, 10, 0, 93.0, 0.0, 25.974800000000002, 15.8167625, 38.89555, 7.18, 3.5225, 17.732499999999998, 1.5625, 101.78099999999999, 27.474408602150536, 16.693290322580648, 41.38211559139786, 7.38, 3.67, 18.58, 2.2399999999999998, 103.32799999999997, 25.974800000000002, 15.7749275, 38.90489749999999, 7.18, 3.5225, 17.732499999999998, 1.5625, 101.78099999999999
10, 1, 0.3, 0, 0, 13, 0, 93.0, 0.0, 0.12780000000000002, 0.0812975, 0.1927025, 0.045, 0.02, 0.08, 0.01, 0.511, 0.1356989247311828, 0.08516129032258063, 0.20419354838709672, 0.05, 0.03, 0.09, 0.01, 0.5179999999999999, 0.12780000000000002, 0.07949750000000001, 0.19190249999999998, 0.045, 0.02, 0.08, 0.01, 0.511
10, 2, 0.3, 0, 0, 13, 0, 95.0, 0.0, 38.1085, 22.85149, 57.70405, 12.125, 6.4375, 33.025, 3.0780000000000003, 114.46149999999992, 39.508105263157894, 23.15583421052631, 60.84288421052631, 12.45, 6.585, 34.825, 3.57, 120.81899999999993, 38.1085, 22.4850875, 58.2698325, 12.125, 6.4375, 33.025, 3.0780000000000003, 114.46149999999992
10, 1, 0.3, 0, 0, 16, 0, 95.0, 0.0, 0.0953, 0.0725, 0.121, 0.05, 0.03, 0.1, 0.01, 0.37, 0.09842105263157894, 0.07526052631578949, 0.12547368421052632, 0.05, 0.03, 0.1, 0.017, 0.37, 0.0953, 0.07300000000000001, 0.1207, 0.05, 0.03, 0.1, 0.01, 0.37
10, 2, 0.3, 0, 0, 16, 0, 96.0, 0.0, 52.3969, 34.393135, 74.54120999999998, 14.48, 7.3875, 37.7825, 2.3405, 199.90599999999995, 54.055937500000006, 35.24952864583334, 76.98865885416666, 15.5, 7.855, 39.942499999999995, 2.645, 203.64999999999998, 52.3969, 34.37392, 74.49661749999999, 14.48, 7.3875, 37.7825, 2.3405, 199.90599999999995
